file_name,n_tokens
gpt4-pdf-chatbot-langchain-main/.env.example,51
gpt4-pdf-chatbot-langchain-main/.eslintrc.json,19
gpt4-pdf-chatbot-langchain-main/.prettierrc,44
gpt4-pdf-chatbot-langchain-main/README.md,1172
gpt4-pdf-chatbot-langchain-main/components/layout.tsx,189
gpt4-pdf-chatbot-langchain-main/components/ui/LoadingDots.tsx,156
gpt4-pdf-chatbot-langchain-main/components/ui/TextArea.tsx,234
gpt4-pdf-chatbot-langchain-main/components/ui/accordion.tsx,555
gpt4-pdf-chatbot-langchain-main/config/pinecone.ts,122
gpt4-pdf-chatbot-langchain-main/declarations/pdf-parse.d.ts,34
gpt4-pdf-chatbot-langchain-main/next.config.js,83
gpt4-pdf-chatbot-langchain-main/package.json,691
gpt4-pdf-chatbot-langchain-main/pages/_app.tsx,126
gpt4-pdf-chatbot-langchain-main/pages/_document.tsx,78
gpt4-pdf-chatbot-langchain-main/pages/api/chat.ts,533
gpt4-pdf-chatbot-langchain-main/pages/index.tsx,2048
gpt4-pdf-chatbot-langchain-main/postcss.config.cjs,35
gpt4-pdf-chatbot-langchain-main/public/favicon.ico,45496
gpt4-pdf-chatbot-langchain-main/scripts/ingest-data.ts,481
gpt4-pdf-chatbot-langchain-main/styles/Home.module.css,1544
gpt4-pdf-chatbot-langchain-main/styles/base.css,21
gpt4-pdf-chatbot-langchain-main/styles/chrome-bug.css,100
gpt4-pdf-chatbot-langchain-main/styles/loading-dots.module.css,406
gpt4-pdf-chatbot-langchain-main/tailwind.config.cjs,98
gpt4-pdf-chatbot-langchain-main/tsconfig.json,243
gpt4-pdf-chatbot-langchain-main/types/chat.ts,60
gpt4-pdf-chatbot-langchain-main/utils/cn.ts,56
gpt4-pdf-chatbot-langchain-main/utils/customPDFLoader.ts,470
gpt4-pdf-chatbot-langchain-main/utils/makechain.ts,376
gpt4-pdf-chatbot-langchain-main/utils/pinecone-client.ts,195
gpt4-pdf-chatbot-langchain-main/vercel.json,36
gpt4-pdf-chatbot-langchain-main/yarn.lock,84151
